,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
33079,0,875758.0,Spain,2010/2011,n,,406,22,38433.0,header,150737.0,1,10205.0,1349849,227,goal,n,,,
33080,1,875758.0,Spain,2010/2011,n,,130,58,,direct_freekick,38433.0,0,10205.0,1350063,269,goal,n,,,
33081,0,1506006.0,Spain,2013/2014,n,,71,3,,,38044.0,0,10205.0,3221223,16,goal,n,,,
33082,1,1506006.0,Spain,2013/2014,p,,20,87,,,42479.0,0,10205.0,3221473,19,goal,p,,,
33083,0,1778109.0,Spain,2014/2015,n,,44,23,,header,38044.0,2,10205.0,3854767,345,goal,n,,,
33084,1,1778109.0,Spain,2014/2015,n,,131,60,,loose_ball,38044.0,2,10205.0,3855008,386,goal,n,,,
33085,0,530583.0,Spain,2008/2009,n,,39,23,,distance,28467.0,2,8633.0,621952,264,goal,n,,,
33086,1,530583.0,Spain,2008/2009,n,,80,53,,shot,36784.0,0,8633.0,622415,286,goal,n,,,
33087,2,530583.0,Spain,2008/2009,n,,80,66,,shot,36784.0,0,8633.0,622520,330,goal,n,,,
33088,0,684776.0,Spain,2009/2010,n,,406,31,30893.0,header,30962.0,4,8633.0,867495,276,goal,n,,,
33089,1,684776.0,Spain,2009/2010,n,,288,58,,deflected,11555.0,1,9865.0,867686,308,goal,n,,,
33090,2,684776.0,Spain,2009/2010,n,,80,62,,shot,43329.0,1,9865.0,867702,298,goal,n,,,
33091,3,684776.0,Spain,2009/2010,n,,80,73,,shot,25759.0,1,8633.0,867762,331,goal,n,,,
33092,4,684776.0,Spain,2009/2010,npm,,348,82,,saved_back_into_play,30893.0,2,8633.0,867808,219,goal,npm,,,
33093,5,684776.0,Spain,2009/2010,n,,131,83,,loose_ball,26166.0,0,8633.0,867809,340,goal,n,,,
33094,6,684776.0,Spain,2009/2010,n,,393,84,25759.0,shot,30893.0,2,8633.0,867812,341,goal,n,,,
33095,0,875447.0,Spain,2010/2011,n,,395,4,30962.0,,30893.0,3,8633.0,1562318,232,goal,n,,,
33096,1,875447.0,Spain,2010/2011,n,,393,31,36378.0,shot,30960.0,1,8633.0,1562517,292,goal,n,,,
33097,2,875447.0,Spain,2010/2011,n,,393,33,45605.0,shot,43329.0,1,9865.0,1562534,285,goal,n,,,
33098,3,875447.0,Spain,2010/2011,n,,80,48,,shot,26166.0,1,8633.0,1562689,279,goal,n,,,
33099,4,875447.0,Spain,2010/2011,n,,131,52,,loose_ball,30960.0,5,8633.0,1562720,321,goal,n,,,
33100,5,875447.0,Spain,2010/2011,n,,393,63,30893.0,shot,26166.0,2,8633.0,1562784,328,goal,n,,,
33101,6,875447.0,Spain,2010/2011,n,,393,73,41156.0,shot,30960.0,1,8633.0,1562841,318,goal,n,,,
33102,7,875447.0,Spain,2010/2011,n,,80,76,,shot,30893.0,1,8633.0,1562864,327,goal,n,,,
